1	0	2	3	0	5	6	0	0	9	10	11	0	13	14	0	16	0	18	0	20	0	0	23	24	25
2	1	0	0	4	5	6	7	0	9	0	11	12	13	0	15	16	0	0	19	20	0	0	23	24	0
3	1	0	0	4	0	6	7	8	9	10	11	12	0	14	0	16	17	0	0	20	0	0	23	24	0
4	1	2	0	4	5	0	0	8	0	10	0	12	13	0	0	16	17	18	19	0	0	0	23	24	25
5	1	2	0	4	0	0	0	8	9	0	11	12	13	0	15	16	0	0	19	20	0	0	23	24	25
6	1	2	0	4	5	6	7	0	0	10	0	12	0	0	15	16	17	0	19	0	21	0	23	0	25
7	1	0	0	4	0	0	7	8	0	10	0	12	0	14	15	16	0	18	19	0	21	22	23	0	25
8	1	0	0	0	5	6	0	8	9	10	0	0	13	0	15	16	17	18	19	20	0	22	0	0	25
9	0	0	3	4	5	0	0	0	9	10	11	0	13	0	15	16	17	0	19	20	21	0	0	24	25
10	0	2	3	4	5	6	0	8	9	10	11	12	0	14	0	0	0	0	19	20	0	0	23	24	0
11	0	2	0	0	0	6	7	8	9	10	11	12	0	0	0	16	0	0	19	20	0	22	23	24	25
12	1	2	0	4	5	0	7	8	9	10	11	12	0	14	0	16	17	0	0	0	0	0	0	24	25
13	0	0	3	0	5	6	7	8	9	10	11	0	13	14	15	16	17	0	19	0	0	0	23	0	0
14	1	2	0	0	5	6	7	0	9	0	0	0	13	14	15	0	0	18	19	20	21	0	23	0	25
15	1	2	0	4	0	6	0	8	0	10	0	12	0	0	15	16	0	18	19	0	21	0	23	24	25
16	0	2	0	0	5	6	7	8	0	10	0	12	13	0	15	0	17	0	19	0	21	0	23	24	25
17	1	2	3	0	5	6	7	0	9	0	0	0	13	14	0	16	17	18	19	20	21	0	0	0	0
18	0	2	0	0	0	6	7	8	0	10	11	0	0	14	15	0	17	18	19	20	0	22	23	24	0
19	0	2	0	0	5	6	7	8	0	10	11	0	13	14	15	16	17	0	0	20	0	0	23	24	0
20	0	0	3	4	0	6	7	8	9	10	0	0	0	14	0	16	17	18	19	20	0	0	23	24	0
21	1	2	0	4	5	0	0	8	0	0	11	0	0	14	0	16	0	18	19	20	0	22	23	24	25
22	1	2	3	4	5	6	7	0	9	10	0	12	13	14	15	0	0	0	0	0	0	22	0	0	25
23	1	0	3	4	5	6	0	8	0	10	11	12	0	14	0	16	17	18	19	20	0	0	0	0	0
24	1	2	3	0	5	0	7	0	0	10	11	0	0	14	0	0	17	0	19	20	21	0	23	24	25
25	1	2	3	4	5	6	7	0	9	0	0	0	13	14	0	16	0	0	0	20	0	22	23	24	0
26	0	0	0	0	5	0	7	8	9	10	11	0	13	14	0	16	17	0	19	20	21	22	23	0	0
27	0	0	3	0	0	6	0	8	0	10	11	12	13	14	15	0	0	18	0	20	21	22	0	24	25
28	1	0	3	0	0	0	7	0	9	10	11	12	13	14	0	16	17	18	19	20	21	0	0	0	0
29	1	0	0	4	5	6	0	8	9	0	0	0	13	14	0	16	17	0	19	20	21	22	0	24	0
30	1	2	3	4	0	6	7	8	0	0	11	0	0	14	0	0	17	0	19	20	21	22	23	0	0
31	1	2	3	4	0	0	0	0	9	0	0	0	13	14	15	0	17	0	19	20	21	22	0	24	25
32	1	2	0	4	0	6	7	0	9	10	11	0	0	14	15	16	17	0	0	20	0	22	23	0	0
33	1	2	0	0	5	0	7	8	0	10	11	12	0	14	0	16	0	0	19	20	21	0	23	24	0
34	1	2	0	4	0	0	7	8	9	10	11	0	0	0	15	16	0	18	19	20	21	0	23	0	0
35	1	0	0	4	5	6	0	0	0	0	11	12	13	14	0	16	17	0	19	0	21	22	23	0	25
36	1	0	0	4	5	0	7	8	0	10	11	0	0	14	0	0	17	0	19	20	21	22	23	24	0
37	1	0	3	4	5	0	0	8	9	10	11	0	13	0	15	0	0	0	0	20	21	22	23	24	0
38	1	2	3	0	0	6	7	8	9	10	0	0	13	14	15	16	0	0	0	0	0	22	0	24	25
39	0	2	0	0	0	0	7	8	9	0	11	0	13	14	15	0	17	18	19	0	21	22	23	24	0
40	1	2	0	0	5	0	7	8	0	10	0	12	13	14	0	16	17	0	0	20	21	22	0	24	0
41	0	2	3	4	0	0	0	0	9	0	0	12	13	0	15	16	17	18	19	20	21	0	23	0	25
42	1	0	3	4	5	6	0	8	0	0	11	12	0	14	15	0	17	0	0	0	21	22	0	24	25
43	1	0	3	0	0	6	7	8	9	10	0	0	0	14	0	0	17	18	19	20	0	22	23	24	0
44	0	0	3	4	5	6	0	0	0	10	11	12	13	14	0	0	0	18	19	0	21	0	23	24	25
